Name,Fasta_Nr,Name,Short,species,place,Time,Food,Original_Food,Temp,part,GENOT,Exp_temp,Exp_time,Exp_food,Experiment,aniwat,,,,,,
postFAC2a,postFAC2a,postFAC2a,postFAC2a,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,16,whole,A,Y,N,N,Temp,daphnia,,,,,,
postFAC2b,postFAC2b,postFAC2b,postFAC2b,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,18,whole,A,Y,N,N,Temp,daphnia,,,,,,
postFAC2c,postFAC2c,postFAC2c,postFAC2c,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,A,Y,N,N,Temp,daphnia,,,,,,
postFBC1a,postFBC1a,postFBC1a,postFBC1a,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,16,whole,B,Y,N,N,Temp,daphnia,,,,,,
postFBC1b,postFBC1b,postFBC1b,postFBC1b,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,18,whole,B,Y,N,N,Temp,daphnia,,,,,,
postFBC1c,postFBC1c,postFBC1c,postFBC1c,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,B,Y,N,N,Temp,daphnia,,,,,,
postFCC1a,postFCC1a,postFCC1a,postFCC1a,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,16,whole,C,Y,N,N,Temp,daphnia,,,,,,
postFCC1b,postFCC1b,postFCC1b,postFCC1b,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,18,whole,C,Y,N,N,Temp,daphnia,,,,,,
postFCC1c,postFCC1c,postFCC1c,postFCC1c,Daphnia magna,finn,1,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,C,Y,N,N,Temp,daphnia,,,,,,
SRS2578392,SRS2578392,SRS2578392,SRS2578392,Daphnia magna,decaee,7,Chlorella,Chlorella,21,gut,JAP,N,Y,N,Time,daphnia,,,,,,
SRS2578393,SRS2578393,SRS2578393,SRS2578393,Daphnia magna,decaee,7,Chlorella,Chlorella,21,gut,JAP,N,Y,N,Time,daphnia,,,,,,
SRS2578394,SRS2578394,SRS2578394,SRS2578394,Daphnia magna,decaee,23,Chlorella,Chlorella,21,gut,JAP,N,Y,N,Time,daphnia,,,,,,
SRS2578396,SRS2578396,SRS2578396,SRS2578396,Daphnia magna,decaee,7,Chlorella,Chlorella,21,gut,JAP,N,Y,N,Time,daphnia,,,,,,
SRS2578398,SRS2578398,SRS2578398,SRS2578398,Daphnia magna,decaee,23,Chlorella,Chlorella,21,gut,JAP,N,Y,N,Time,daphnia,,,,,,
SRS2578399,SRS2578399,SRS2578399,SRS2578399,Daphnia magna,decaee,23,Chlorella,Chlorella,21,gut,JAP,N,Y,N,Time,daphnia,,,,,,
X13,13,W_AVH,W_AVH_X13,water,AV,1,honey,honey,18,whole,rot,N,N,Y,food,water,,,,,,
X62,62,W_AVK,W_AVK_X62,water,AV,1,Algae,Algae,18,whole,rot,N,N,Y,food,water,,,,,,
X65,65,W_AVS,W_AVS_X65,water,AV,1,Salad,Salad,18,whole,rot,N,N,Y,food,water,,,,,,
X24,24,W_LIH_18A,W_LIH_18A_X24,water,LI,75,honey,Algae,18,water,rot,Y,N,Y,waterL001,water,,cult,23,R1.fastq,W_LIH_18A_23,water_X24
X26,26,W_LIH_18B,W_LIH_18B_X26,water,LI,75,honey,Algae,18,water,rot,Y,N,Y,waterL001,water,,cult,27,R1.fastq,W_LIH_18B_27,water_X26
