X,Number,Fastq_NR,Sequence_file_name,short_name_uparse,short_name_ngs,short,species,indval,Place,genus,spec_place,substrate,dataset,couples,couplesRW,sppl,rot_crus,Taxa,env_cult,ani_cult,NR,R1_R2,name,uni
X127,23,127,oS62_L001_R1_001.fastq,118_R1.fastq,oS62_L001_R1_001.fastq,oS62_L001_R1_001.fastq_X118,Rotaria macrura,Rotaria macrura,St14,Rotaria,Rotaria macruraSt14,animal,rot,St14Rotaria macrura,St14Rotaria macrura,Rotaria macruraSt14,rotifer,bdell,env,rotifer_env,227,R1.fastq,oS62_L001_R1_001.fastq_227,Rotaria macrura_X118
X128,24,128,oS63_L001_R1_001.fastq,119_R1.fastq,oS63_L001_R1_001.fastq,oS63_L001_R1_001.fastq_X119,Rotaria macrura,Rotaria macrura,St14,Rotaria,Rotaria macruraSt14,animal,rot,St14Rotaria macrura,St14Rotaria macrura,Rotaria macruraSt14,rotifer,bdell,env,rotifer_env,229,R1.fastq,oS63_L001_R1_001.fastq_229,Rotaria macrura_X119
X129,25,129,oS64_L001_R1_001.fastq,120_R1.fastq,oS64_L001_R1_001.fastq,oS64_L001_R1_001.fastq_X120,Rotaria macrura,Rotaria macrura,St14,Rotaria,Rotaria macruraSt14,animal,rot,St14Rotaria macrura,St14Rotaria macrura,Rotaria macruraSt14,rotifer,bdell,env,rotifer_env,231,R1.fastq,oS64_L001_R1_001.fastq_231,Rotaria macrura_X120
X13,26,13,ID435-5_S41_L001_R1_001.fastq,5_41,W_LIH_18A,W_LIH_18AX13,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,121,R1.fastq,W_LIH_18A_121,water_X13
X130,27,130,oS65_L001_R1_001.fastq,121_R1.fastq,oS65_L001_R1_001.fastq,oS65_L001_R1_001.fastq_X121,water,NA,St14,,waterSt14,water,rot,St14water,St14Rotaria macrura,waterSt14,water,,env,water_env,233,R1.fastq,oS65_L001_R1_001.fastq_233,water_X121
X131,28,131,oS66_L001_R1_001.fastq,122_R1.fastq,oS66_L001_R1_001.fastq,oS66_L001_R1_001.fastq_X122,water,NA,St14,,waterSt14,water,rot,St14water,St14Rotaria macrura,waterSt14,water,,env,water_env,235,R1.fastq,oS66_L001_R1_001.fastq_235,water_X122
X14,29,14,ID435-6_S42_L001_R1_001.fastq,6_42,W_LIH_18B,W_LIH_18BX14,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterLM,water,,env,water_env,123,R1.fastq,W_LIH_18B_123,water_X14
X15,30,15,ID435-7_S13_L001_R1_001.fastq,7_13,LIH_24A,LIH_24AX15,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisLM,rotifer,mono,cult,rotifer_cult,125,R1.fastq,LIH_24A_125,Lecane inermis_X15
X16,31,16,ID435-7_S43_L001_R1_001.fastq,7_43,LIH_24A,LIH_24AX16,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001_AP,rotifer,mono,cult,rotifer_cult,127,R1.fastq,LIH_24A_127,Lecane inermis_X16
X17,32,17,ID435-8_S44_L001_R1_001.fastq,8_44,LIH_24B,LIH_24BX17,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,129,R1.fastq,LIH_24B_129,Lecane inermis_X17
X18,33,18,ID435-9_S45_L001_R1_001.fastq,9_45,W_LIH_24A,W_LIH_24AX18,water,NA,L001,,waterLIH,water,rot,L001water,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,19,R1.fastq,LIK_C1_19,Lecane inermis_X18
X19,34,19,ID435-10_S14_L001_R1_001.fastq,10_14,W_LIH_24B,W_LIH_24BX19,water,NA,L001,,waterLIH,water,rot,L001water,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,21,R1.fastq,LIK_C2_21,Lecane inermis_X19
X2,35,2,49869F48704_S58_L001_R1_001.fastq,2_R1.fastq,W_RMS_1,W_RMS_1_X2,water,NA,L001,,waterRM,water,rot,L001water,RotML001,waterRM,water,,cult,water_cult,3,R1.fastq,W_RMS_1_3,water_X2
X20,36,20,ID435-10_S27_L001_R1_001.fastq,10_27,W_LIH_24B,W_LIH_24BX20,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,15,R1.fastq,W_LIH_24B_15,water_X20
X22,37,22,ID435-11_S47_L001_R1_001.fastq,11_47,LIK_C1,LIK_C1X22,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,29,R1.fastq,LIK_18A_29,Lecane inermis_X27
X23,38,23,ID435-12_S48_L001_R1_001.fastq,12_48,LIK_C2,LIK_C2X23,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,31,R1.fastq,LIK_18A_31,Lecane inermis_X28
X24,39,24,ID435-13_S49_L001_R1_001.fastq,13_49,W_LIK_C1,W_LIK_C1X24,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,23,R1.fastq,W_LIK_C1_23,water_X24
X26,40,26,ID435-14_S50_L001_R1_001.fastq,14_50,W_LIK_C2,W_LIK_C2X26,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,27,R1.fastq,W_LIK_C2_27,water_X26
X27,41,27,ID435-15_S16_L001_R1_001.fastq,15_16,LIK_18A,LIK_18AX27,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,33,R1.fastq,LIK_18B_33,Lecane inermis_X29
X28,42,28,ID435-15_S51_L001_R1_001.fastq,15_51,LIK_18A,LIK_18AX28,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,43,R1.fastq,LIK_24A_43,Lecane inermis_X34
X29,43,29,ID435-16_S52_L001_R1_001.fastq,16_52,LIK_18B,LIK_18BX29,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,51,R1.fastq,LIK_24B_51,Lecane inermis_X35
X30,44,30,ID435-17_S17_L001_R1_001.fastq,17_17,W_LIK_18A,W_LIK_18AX30,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,35,R1.fastq,W_LIK_18A_35,water_X30
X31,45,31,ID435-17_S28_L001_R1_001.fastq,17_28,W_LIK_18A,W_LIK_18AX31,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,37,R1.fastq,W_LIK_18A_37,water_X31
X33,46,33,ID435-18_S54_L001_R1_001.fastq,18_54,W_LIK_18B,W_LIK_18BX33,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,41,R1.fastq,W_LIK_18B_41,water_X33
X34,47,34,ID435-19_S55_L001_R1_001.fastq,19_55,LIK_24A,LIK_24AX34,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,59,R1.fastq,LIH2_59,Lecane inermis_X39
X35,48,35,ID435-20_S56_L001_R1_001.fastq,20_56,LIK_24B,LIK_24BX35,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,63,R1.fastq,LIH2_63,Lecane inermis_X41
X36,49,36,ID435-21_S57_L001_R1_001.fastq,21_57,W_LIK_24A,W_LIK_24AX36,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,53,R1.fastq,W_LIK_24A_53,water_X36
X37,50,37,ID435-22_S58_L001_R1_001.fastq,22_58,W_LIK_24B,W_LIK_24BX37,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,55,R1.fastq,W_LIK_24B_55,water_X37
X39,51,39,ID435-24_S18_L001_R1_001.fastq,24_18,LIH2,LIH2X39,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,67,R1.fastq,LIH_B1_67,Lecane inermis_X43
X4,52,4,49871F48706_S60_L001_R1_001.fastq,4_R1.fastq,RMS_1,RMS_1_X4,Rotaria macrura,Rotaria macrura,L001,Rotaria,Rotaria macruraRM,animal,rot,L001Rotaria macrura,RotML001,Rotaria macruraRM,rotifer,bdell,cult,rotifer_cult,7,R1.fastq,RMS_1_7,Rotaria macrura_X4
X41,53,41,ID435-24_S60_L001_R1_001.fastq,24_60,LIH2,LIH2X41,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,69,R1.fastq,LIH_B2_69,Lecane inermis_X44
X42,54,42,ID435-25_S19_L001_R1_001.fastq,25_19,W_LIH,W_LIHX42,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,65,R1.fastq,W_LIH_65,water_X42
X43,55,43,ID435-26_S20_L001_R1_001.fastq,26_20,LIH_B1,LIH_B1X43,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,73,R1.fastq,LIK1_73,Lecane inermis_X46
X44,56,44,ID435-27_S21_L001_R1_001.fastq,27_21,LIH_B2,LIH_B2X44,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,77,R1.fastq,LIK2_77,Lecane inermis_X47
X45,57,45,ID435-28_S22_L001_R1_001.fastq,28_22,W_LIH_B,W_LIH_BX45,water,NA,L001,,waterLIH,water,rot,L001water,LIH,waterL001,water,,cult,water_cult,71,R1.fastq,W_LIH_B_71,water_X45
X46,58,46,ID435-29_S23_L001_R1_001.fastq,29_23,LIK1,LIK1X46,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,81,R1.fastq,LIK_B1_81,Lecane inermis_X49
X47,59,47,ID435-30_S24_L001_R1_001.fastq,30_24,LIK2,LIK2X47,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,83,R1.fastq,LIK_B1_83,Lecane inermis_X50
X48,60,48,ID435-31_S25_L001_R1_001.fastq,31_25,W_LIK,W_LIKX48,water,NA,L001,,waterLIK,water,rot,L001water,LIK,waterL001,water,,cult,water_cult,79,R1.fastq,W_LIK_79,water_X48
X49,61,49,ID435-32_S26_L001_R1_001.fastq,32_26,LIK_B1,LIK_B1X49,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIK,animal,rot,L001Lecane inermis,LIK,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,85,R1.fastq,LIK_B2_85,Lecane inermis_X51
X5,62,5,49872F48707_S61_L001_R1_001.fastq,5_R1.fastq,RMS_2,RMS_2_X5,Rotaria macrura,Rotaria macrura,L001,Rotaria,Rotaria macruraRM,animal,rot,L001Rotaria macrura,RotML001,Rotaria macruraRM,rotifer,bdell,cult,rotifer_cult,9,R1.fastq,RMS_2_9,Rotaria macrura_X5
