X,Number,species,shape,spec_place,substrate,dataset,sppl,rot_crus,env_cult,uni
X87,103,Simo,clad,Simocephalus A994,animal,extra,Simocephalus A994,crustacean,env,Simocephalus _X87
X89,105,Copepod,cop,CopepodA984,animal,extra,CopepodA984,crustacean,env,Copepod_X89
X90,107,Rotaria rotatoria,bdell,Rotaria rotatoriaA994,animal,rot,Rotaria rotatoriaA994,rotifer,env,Rotaria rotatoria_X90
X91,108,Rotaria rotatoria,bdell,Rotaria rotatoriaA994,animal,rot,Rotaria rotatoriaA994,rotifer,env,Rotaria rotatoria_X91
X93,110,Brachinonus quadridentatus,mono,Brachinonus quadridentatusA988,animal,rot,Brachinonus quadridentatusA988,rotifer,env,Brachinonus quadridentatus_X93
X94,111,Brachinonus quadridentatus,mono,Brachinonus quadridentatusA988,animal,rot,Brachinonus quadridentatusA988,rotifer,env,Brachinonus quadridentatus_X94
X96,113,SimoV,clad,SimocephalusA992,animal,extra,Simocephalus A992,crustacean,env,Simocephalus _X96
X99,116,Lecane elsa,mono,Lecane elsaA984,animal,rot,Lecane elsaA984,rotifer,env,Lecane elsa_X99
D3,117,Daphnia obtus,clad,Daphnia obtusIRSA,animal,extra,Daphnia obtusIRSA,crustacean,env,Daphnia obtus_D3
D5,118,Daphnia obtus,clad,Daphnia obtusIRSA,animal,extra,Daphnia obtusIRSA,crustacean,env,Daphnia obtus_D5
D6,119,Daphnia obtus,clad,Daphnia obtusIRSA,animal,extra,Daphnia obtusIRSA,crustacean,env,Daphnia obtus_D6
ERS2473696,120,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473696
ERS2473697,121,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473697
ERS2473698,122,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473698
ERS2473704,123,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473704
ERS2473705,124,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473705
ERS2473706,125,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473706
ERS2473722,126,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473722
ERS2473723,127,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473723
ERS2473724,128,Daphnia magna,clad,Daphnia magnaebert,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_ERS2473724
GCop,130,Eudiaptomus_padanus,cop,CopepodLM,animal,extra,CopepodLM,crustacean,env,Copepod_GCop
GDaph,131,Daphnia galeata,clad,Daphnia galeataLM,animal,extra,DaphniaLM,crustacean,env,Daphnia galeata_GDaph
PCop,133,Eudiaptomus_padanus,cop,CopepodLM,animal,extra,CopepodLM,crustacean,env,Copepod_PCop
PDaph,134,Daphnia galeata,clad,Daphnia galeataLM,animal,extra,DaphniaLM,crustacean,env,Daphnia galeata_PDaph
SRR4115579,135,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRR4115579
SRR4115602,136,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRR4115602
SRS2578392,137,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRS2578392
SRS2578393,138,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRS2578393
SRS2578394,139,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRS2578394
SRS2578396,140,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRS2578396
SRS2578398,141,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRS2578398
SRS2578399,142,Daphnia magna,clad,Daphnia magnadecaeste,animal,extra,Daphnia magnadecaeste,crustacean,cult,Daphnia magna_SRS2578399
WCop,144,Eudiaptomus_padanus,cop,CopepodLM,animal,extra,CopepodLM,crustacean,env,Copepod_WCop
WDaph,145,Daphnia galeata,clad,Daphnia galeataLM,animal,extra,DaphniaLM,crustacean,env,Daphnia galeata_WDaph
postFAC1a,146,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_postFAC1a
postFAC1c,148,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaebert,crustacean,cult,Daphnia magna_postFAC1c
postFAC2a,149,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFAC2a
postFAC2b,150,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFAC2b
postFAC2c,151,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFAC2c
postFBC1a,152,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFBC1a
postFBC1c,154,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFBC1c
postFCC1a,155,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFCC1a
postFCC1c,157,Daphnia magna,clad,Daphnia magnaFinnland,animal,extra,Daphnia magnaFinnland,crustacean,cult,Daphnia magna_postFCC1c
