percentage,species
0.58,caterpillars
0.6,caterpillars
0.52,caterpillars
0.7,caterpillars
0.4,caterpillars
0.35,caterpillars
0.3,caterpillars
0.95,other animals
0.99,other animals
0.97,other animals
0.94,other animals
0.95,other animals
0.89,other animals
0.89,other animals
0.91,other animals
0.9,other animals
0.97,other animals
0.99,other animals
0.95,other animals
0.98,other animals
