,Phylum,Class,Order,Family,Genus,Species
Zotu1049,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Lautropia,
Zotu105,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
Zotu1050,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Albidiferax,
Zotu1051,p:Proteobacteria,,,,,
Zotu1052,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:cvE6,,
Zotu1053,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,
Zotu1054,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
Zotu1055,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
Zotu1056,p:Bacteroidetes,c:WCHB1-32,,,,
Zotu1057,p:Verrucomicrobia,c:Opitutae,o:Opitutae_vadinHA64,,,
Zotu1058,,,,,,
Zotu1059,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
Zotu106,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Saprospiraceae,,
Zotu1060,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,,
Zotu1061,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Duganella,
Zotu1062,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,,,
Zotu1063,p:Proteobacteria,c:Gammaproteobacteria,,,,
Zotu1064,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,
Zotu1065,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
Zotu1066,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Sandaracinaceae,,
Zotu1067,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
Zotu1068,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,
Zotu1069,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus,s:Streptococcus_sp._oral_taxon_G59
Zotu107,,,,,,
Zotu1070,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,
Zotu1071,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Limnobacter,
Zotu1072,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:cvE6,,
Zotu1073,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Cryomorphaceae,g:Fluviicola,
Zotu1074,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:TM146,,
Zotu1075,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,
Zotu1076,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus,s:Streptococcus_sp._2011_Oral_MS_H4
Zotu1077,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides,
Zotu1078,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides,
Zotu1079,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Sporichthyaceae,g:hgcI_clade,
Zotu108,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,s:bacterium_enrichment_culture_clone_R2A2
Zotu1080,p:Cyanobacteria,c:Chloroplast,,,,
Zotu1081,,,,,,
Zotu1082,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Cryomorphaceae,g:Crocinitomix,
Zotu1083,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Cryomorphaceae,g:Fluviicola,
Zotu1084,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
